SPEC,prefirelate closed,prefiremid closed,prefireopen,prefireShrub,prefireyoung.forest,elevation,slope,aspect,I(elevation^2),tsb,burnsev,I(burnsev^2),I(tsb^2),tsb:burnsev,lower prefirelate closed,lower prefiremid closed,lower prefireopen,lower prefireShrub,lower prefireyoung.forest,lower elevation,lower slope,lower aspect,lower I(elevation^2),lower tsb,lower burnsev,lower I(burnsev^2),lower I(tsb^2),lower tsb:burnsev,upper prefirelate closed,upper prefiremid closed,upper prefireopen,upper prefireShrub,upper prefireyoung.forest,upper elevation,upper slope,upper aspect,upper I(elevation^2),upper tsb,upper burnsev,upper I(burnsev^2),upper I(tsb^2),upper tsb:burnsev,peak.density,peak.density.lower,peak.density.upper,peak.burnsev,peak.tsb
WETA,-1.216052782,-1.276196814,-1.075737516,-1.200146191,-1.355233073,0.016006323,-0.00129275,0.053795473,0.017133804,-0.158498765,-0.079386737,-0.078705716,-0.004110999,0.019377462,-1.330362379,-1.397022352,-1.242829104,-1.349546182,-1.538689382,-0.021995675,-0.038329282,0.015765497,-0.01724853,-0.219749734,-0.138901588,-0.146852621,-0.048959726,-0.022620013,-1.101743185,-1.155371277,-0.908645928,-1.0507462,-1.171776765,0.054008321,0.035743781,0.091825448,0.051516139,-0.097247797,-0.019871885,-0.010558811,0.040737729,0.061374938,0.405801876,0.344175992,0.478462084,-0.975944086,-0.988393542
DEJU,0.057552429,0.056594681,0.310037707,-0.133872951,0.231276976,0.049461857,-0.021857762,0.009391875,0.014284534,-0.056069317,-0.033504761,0.014415263,-0.039164025,-0.031831421,-0.091734342,-0.097714789,0.115423991,-0.322194581,0.035002853,0.008520903,-0.062190589,-0.031700952,-0.022973812,-0.120872778,-0.101875966,-0.05871728,-0.08606301,-0.074128657,0.2068392,0.210904151,0.504651424,0.054448678,0.4275511,0.090402811,0.018475064,0.050484701,0.05154288,0.008734144,0.034866444,0.087547806,0.00773496,0.010465815,1.409055721,1.157954505,1.714607972,-0.975944086,-0.988393542
YRWA,-0.912416528,-0.852291663,-0.687962294,-0.947779425,-0.904420542,0.163217238,-0.015582316,0.045003681,-0.007435884,-0.133580752,-0.258880962,0.081840691,-0.006880584,0.025809279,-1.046952182,-0.992187346,-0.884202377,-1.129384908,-1.110250732,0.118398621,-0.059198822,0.00085769,-0.047017714,-0.205611309,-0.3289576,-0.001656708,-0.05783079,-0.022702361,-0.777880875,-0.71239598,-0.491722212,-0.766173942,-0.698590351,0.208035856,0.02803419,0.089149672,0.032145946,-0.061550195,-0.188804323,0.16533809,0.044069622,0.074320919,0.812894635,0.672293627,0.982900417,-0.975944086,-0.988393542
RBNU,-1.546567205,-1.520530276,-1.371840023,-1.712112193,-1.933977746,0.012664716,0.038832103,0.003144543,-0.023111399,-0.231070208,-0.189815017,0.055168652,0.074334339,0.016897766,-1.680922563,-1.661532055,-1.566283928,-1.898675051,-2.168894091,-0.032569898,-0.00407783,-0.041345183,-0.064119539,-0.30331853,-0.259018086,-0.027578433,0.024183952,-0.030404246,-1.412211848,-1.379528497,-1.177396117,-1.525549335,-1.699061401,0.057899329,0.081742037,0.047634268,0.01789674,-0.158821886,-0.120611947,0.137915736,0.124484726,0.064199779,0.44187075,0.366503614,0.532736247,-0.975944086,-0.988393542
FOSP,-1.091985969,-1.310027155,-1.463110716,-0.88542292,-0.981829233,0.24505709,-0.099004729,-0.072487583,-0.07942277,0.594783637,0.097887876,0.078003321,-0.150111888,-0.059401791,-1.234095617,-1.459119589,-1.690749148,-1.038377242,-1.171118966,0.197224115,-0.146215741,-0.117233491,-0.124933399,0.52377331,0.021987851,-0.000412045,-0.189950226,-0.096310735,-0.949876321,-1.160934721,-1.235472284,-0.732468597,-0.792539501,0.292890065,-0.051793718,-0.027741675,-0.033912141,0.665793965,0.1737879,0.156418687,-0.11027355,-0.022492847,0.722423812,0.624249468,0.836037818,1.587000738,1.546811087
HEWA,-1.287926036,-1.269981734,-1.05979405,-1.271683787,-1.879848997,-0.46130861,0.037548978,0.003593128,-0.222393351,-0.457213623,-0.493814797,0.172114072,0.128175286,-0.020937054,-1.431866877,-1.423746457,-1.255248326,-1.470400519,-2.140129229,-0.519802257,-0.003119557,-0.040831023,-0.272394052,-0.533410095,-0.568762526,0.084699542,0.070885054,-0.079401273,-1.143985196,-1.116217011,-0.864339775,-1.072967054,-1.619568765,-0.402814963,0.078217513,0.048017279,-0.172392651,-0.381017151,-0.418867068,0.259528602,0.185465518,0.037527166,1.153732707,0.965467982,1.378708754,-0.975944086,-0.988393542
MOCH,-0.849738138,-0.797963792,-0.508275875,-0.771104798,-0.909786089,0.08946585,-0.034216837,0.005700139,-0.1272683,-0.103739672,-0.212825237,0.032601176,-0.006162758,-0.006111551,-0.984940168,-0.937677845,-0.699928254,-0.945730392,-1.12082562,0.040789841,-0.078824934,-0.039428517,-0.172052942,-0.175869776,-0.283612848,-0.050046628,-0.056898819,-0.053683933,-0.714536107,-0.658249738,-0.316623496,-0.596479204,-0.698746558,0.138141858,0.01039126,0.050828795,-0.082483657,-0.031609568,-0.142037625,0.115248979,0.044573303,0.04146083,0.836190334,0.692086638,1.010298763,-0.975944086,-0.988393542
DUFL,-1.160412611,-1.33896613,-1.033807145,-1.093888484,-1.34900851,0.289493817,-0.152243915,-0.043083583,-0.094029425,0.172777117,0.045655107,0.063209702,-0.124017731,-0.056848406,-1.315942814,-1.503271825,-1.263315129,-1.278455639,-1.591668106,0.232247133,-0.206691156,-0.095351101,-0.145674876,0.09063295,-0.036092997,-0.030160419,-0.18004543,-0.106444227,-1.004882408,-1.174660435,-0.804299162,-0.90932133,-1.106348915,0.346740502,-0.097796673,0.009183935,-0.042383974,0.254921284,0.127403212,0.156579822,-0.067990031,-0.007252586,0.400131103,0.338333689,0.473215954,1.587000738,0.420053474
LAZB,-1.330740513,-1.524025516,-1.563275943,-1.819741291,-1.254536847,0.209611163,0.085977228,0.026823422,0.170316817,0.387790572,0.694754926,-0.285578126,-0.176978052,-0.201801532,-1.519075199,-1.723283843,-1.864048886,-2.059714695,-1.527398245,0.149088274,0.018484517,-0.03882676,0.113347472,0.282733747,0.584013057,-0.393492421,-0.245631548,-0.263888438,-1.142405827,-1.324767189,-1.262502999,-1.579767887,-0.98167545,0.270134051,0.153469939,0.092473603,0.227286162,0.492847398,0.805496796,-0.17766383,-0.108324555,-0.139714625,0.417443738,0.34683666,0.502424612,1.037798275,0.420053474
NAWA,-2.148809178,-2.115852053,-1.597173303,-2.613483408,-2.073458859,-0.300494347,0.24259798,-0.056651284,-0.044736735,-0.053496026,0.091914054,0.157891574,0.077354463,0.002853119,-2.363364442,-2.341779094,-1.867269488,-2.917693674,-2.384509267,-0.376710318,0.178807291,-0.124789534,-0.111049957,-0.158078556,-0.017930819,0.037048269,0.007643936,-0.055890842,-1.934253914,-1.889925012,-1.327077117,-2.309273142,-1.762408451,-0.224278377,0.306388669,0.011486966,0.021576488,0.051086504,0.201758927,0.278734878,0.147064991,0.06159708,0.341497593,0.219614164,0.531024976,1.587000738,2.955258103
BRCR,-0.696483164,-0.813842627,-0.797325562,-0.785129202,-0.803529603,-0.080603129,-0.00214928,-0.034921946,-0.114375557,-0.257803681,0.000304871,-0.110973554,0.019958391,-0.0046632,-0.891688029,-1.021581929,-1.111540661,-1.053157569,-1.116355544,-0.155160333,-0.067605833,-0.103061549,-0.183561013,-0.36756735,-0.105412125,-0.229716292,-0.062994386,-0.081919891,-0.501278299,-0.606103325,-0.483110463,-0.517100835,-0.490703663,-0.006045925,0.063307273,0.033217657,-0.045190102,-0.148040012,0.106021866,0.007769184,0.102911169,0.072593492,0.655157689,0.543291608,0.790057478,-0.060606649,-0.988393542
STJA,-2.272610557,-2.390385719,-2.25138388,-2.309758404,-2.103171388,-0.067378708,0.114099677,-0.027335231,0.089716628,0.034828909,0.108225353,-0.184162246,-0.03368604,-0.065839543,-2.47572311,-2.608879591,-2.5545377,-2.56776893,-2.39970488,-0.134289257,0.047953427,-0.096054161,0.029456632,-0.073112311,0.000380645,-0.303419438,-0.109919817,-0.134328083,-2.069498003,-2.171891847,-1.94823006,-2.051747878,-1.806637897,-0.000468159,0.180245927,0.0413837,0.149976625,0.14277013,0.216070061,-0.064905055,0.042547738,0.002648997,0.10483738,0.084480992,0.130098808,0.305528326,0.138364071
WEWP,-2.531967831,-2.533608286,-3.042473482,-2.471242131,-2.583605523,0.038966239,-0.008679518,-0.049451416,0.112403038,0.209756807,0.112937264,-0.051141138,-0.056387947,-0.01799804,-2.73631231,-2.747063878,-3.405876337,-2.714187803,-2.898866164,-0.027912517,-0.080184243,-0.119898092,0.050089957,0.099446712,0.000900708,-0.173712789,-0.126770296,-0.081707065,-2.327623352,-2.320152694,-2.679070628,-2.22829646,-2.268344883,0.105844995,0.062825207,0.02099526,0.174716119,0.320066901,0.224973821,0.071430514,0.013994401,0.045710986,0.099667532,0.078360215,0.126768627,0.854730788,1.82850049
HAWO,-2.108010319,-2.079010064,-1.98694808,-2.445226287,-2.13536384,-0.004422622,-0.048891092,-0.007380771,-0.111296692,-0.089184169,0.052992804,-0.122079183,-0.162905998,-0.222341696,-2.338104142,-2.313848811,-2.327974749,-2.779784204,-2.481347302,-0.085397717,-0.121834835,-0.08304253,-0.184436486,-0.209679264,-0.066694188,-0.250565126,-0.264938852,-0.318030868,-1.877916497,-1.844171317,-1.64592141,-2.110668371,-1.789380377,0.076552473,0.02405265,0.068280989,-0.038156899,0.031310926,0.172679795,0.00640676,-0.060873143,-0.126652523,0.131673946,0.103388553,0.167697753,1.037798275,-0.988393542
TOSO,-2.737476264,-2.637781076,-2.695023981,-3.172677249,-3.133383065,0.134128661,0.055800749,0.071691284,-0.03632924,-0.109773743,-0.085721399,-0.233062842,-0.10853885,-0.059617304,-2.968081797,-2.871665958,-3.061486367,-3.533142067,-3.559282601,0.049261505,-0.02348937,-0.009826829,-0.111372738,-0.244064371,-0.210692455,-0.37770319,-0.215631005,-0.165578606,-2.506870731,-2.403896195,-2.328561594,-2.81221243,-2.70748353,0.218995817,0.135090868,0.153209397,0.038714258,0.024516885,0.039249656,-0.088422494,-0.001446696,0.046343998,0.066695123,0.054374437,0.081807548,-0.060606649,-0.425014736
MGWA,-1.75946111,-2.009237707,-1.586086987,-2.054336568,-1.859042767,0.12640871,0.045170633,-0.043272856,-0.018679356,0.390722293,0.194882776,0.040037977,-0.203789447,0.014630877,-2.00711272,-2.273668337,-1.936481919,-2.364458596,-2.226426562,0.043695528,-0.039549802,-0.125698915,-0.097987797,0.258687941,0.058486767,-0.104784004,-0.291794464,-0.061987636,-1.511809499,-1.744807077,-1.235692055,-1.744214539,-1.491658972,0.209121893,0.129891068,0.039153203,0.060629084,0.522756644,0.331278784,0.184859959,-0.115784429,0.091249391,0.320026079,0.2471908,0.414322422,1.587000738,0.98343228
SPTO,-2.123424816,-2.283563101,-2.022870245,-2.459622876,-2.062682596,0.008248854,0.037601934,0.169504678,0.058085021,0.697459166,0.434348425,-0.089652797,-0.061840845,-0.072702652,-2.366631233,-2.536989885,-2.370436689,-2.754874144,-2.400981265,-0.074990563,-0.054325351,0.082142626,-0.022739629,0.560069948,0.286094103,-0.236323198,-0.131530283,-0.141584203,-1.880218399,-2.030136316,-1.675303801,-2.164371608,-1.724383928,0.09148827,0.129529219,0.25686673,0.13890967,0.834848383,0.582602748,0.057017603,0.007848592,-0.003821101,0.626253586,0.428747373,0.914742755,1.220865763,2.955258103
OSFL,-2.620559294,-2.878700625,-3.085270307,-2.907161777,-2.827573252,0.214237864,0.034884483,0.116362833,-0.134438367,0.347797339,0.001888645,-0.078656712,-0.091596124,-0.011866843,-2.884057311,-3.155774693,-3.525493649,-3.230413419,-3.215126086,0.120298165,-0.051893042,0.030758123,-0.222179992,0.212124114,-0.139938503,-0.228788949,-0.173788465,-0.090550044,-2.357061277,-2.601626557,-2.645046965,-2.583910135,-2.440020417,0.308177564,0.121662008,0.201967543,-0.046696741,0.483470564,0.143715794,0.071475526,-0.009403784,0.066816358,0.101272157,0.074042237,0.138516204,-0.060606649,1.82850049
HAFL,-1.845447066,-1.690013615,-2.352682936,-1.76293531,-2.881815601,0.039824507,-0.136044252,-0.120220304,-0.198129023,-0.45761563,-0.370419718,0.126885904,-0.034335688,0.161831407,-2.119314529,-1.97223636,-2.870634122,-2.134570233,-3.493657149,-0.058739485,-0.222835703,-0.207189265,-0.289125639,-0.609409444,-0.51669271,-0.042924949,-0.163878392,0.036172053,-1.571579603,-1.40779087,-1.83473175,-1.391300386,-2.269974053,0.138388499,-0.0492528,-0.033251344,-0.107132406,-0.305821815,-0.224146725,0.296696757,0.095207016,0.287490761,0.53111128,0.413697672,0.681848631,-0.975944086,-0.988393542
CAFI,-2.419969869,-2.455561153,-2.613583933,-2.218032146,-2.293188366,0.411506241,-0.136386553,0.102978713,-0.072973028,-0.090789574,-0.096569396,-0.008299454,0.039104,-0.04530781,-2.681898328,-2.725857628,-3.053257687,-2.537323615,-2.67228826,0.310880828,-0.227037417,0.01438359,-0.157662976,-0.230140547,-0.235800365,-0.167658913,-0.048831751,-0.131634317,-2.158041409,-2.185264677,-2.173910179,-1.898740677,-1.914088471,0.512131654,-0.045735689,0.191573835,0.01171692,0.0485614,0.042661573,0.151060005,0.127039751,0.041018697,0.129062555,0.090797438,0.18345389,-0.975944086,-0.988393542
CHSP,-2.44295259,-2.30804955,-2.292126796,-2.632767302,-1.931643998,0.338690603,-0.270845552,0.012009075,0.037034217,0.252102323,0.182110386,0.064875218,-0.171956696,-0.188336365,-2.708608027,-2.575443295,-2.683254071,-2.966996244,-2.277417336,0.243282956,-0.367459779,-0.079383419,-0.047361722,0.111141454,0.041067138,-0.094800974,-0.26903573,-0.272114764,-2.177297152,-2.040655805,-1.900999522,-2.298538359,-1.58587066,0.434098251,-0.174231325,0.103401568,0.121430156,0.393063193,0.323153635,0.224551411,-0.074877662,-0.104557965,0.13705446,0.105620995,0.17784272,1.587000738,-0.143325332
AMRO,-2.288341407,-2.536740364,-2.7026611,-2.366210038,-2.227842864,0.052816175,-0.087742875,-0.005308439,0.087482049,0.297033694,0.042397335,-0.057331736,-0.152520889,-0.046158722,-2.540854111,-2.808542572,-3.145537698,-2.690849311,-2.598726149,-0.030411969,-0.176471824,-0.092352099,0.012082653,0.157524437,-0.095978439,-0.211625636,-0.24969966,-0.132013011,-2.035828704,-2.264938155,-2.259784502,-2.041570765,-1.856959578,0.13604432,0.000986074,0.081735221,0.162881444,0.436542951,0.180773109,0.096962164,-0.055342118,0.039695566,0.117212499,0.08842259,0.155376243,-0.060606649,0.98343228
WHWO,-3.205128383,-3.120711906,-3.011429909,-3.166232223,-3.311427632,-0.027265803,0.026682413,-0.04935124,-0.00292633,-0.140969723,-0.156634528,-0.011190279,0.068223544,-0.01955114,-3.470564853,-3.396479478,-3.396434021,-3.510537507,-3.737825581,-0.11773076,-0.059798728,-0.13844309,-0.086165854,-0.28109594,-0.294560086,-0.171091492,-0.026122693,-0.106852181,-2.939691912,-2.844944333,-2.626425797,-2.821926939,-2.885029684,0.063199153,0.113163555,0.039740611,0.080313194,-0.000843507,-0.018708969,0.148710934,0.162569782,0.067749902,0.068419428,0.046838531,0.099943743,-0.975944086,-0.988393542
